"Indicator Name","Cancer Type","Year","Country Name","Region","Gender","Area","Numeric","Lower Confidence Limit","Upper Confidence Limit","Comment",
"Physical inactivity, adults aged 18+","","2022","Djibouti","Eastern Mediterranean Region","Total","","16.979588","5.1695504","34.876602","",
"Physical inactivity, adults aged 18+","","2022","Djibouti","Eastern Mediterranean Region","Males","","13.576104","2.9825087","34.946461","",
"Physical inactivity, adults aged 18+","","2022","Djibouti","Eastern Mediterranean Region","Females","","20.190123","2.8220499","51.252548","",
"Physical inactivity, adults aged 18+","","2022","Dominica","Region of the Americas","Total","","30.515839","14.361526","49.153721","",
"Physical inactivity, adults aged 18+","","2022","Dominica","Region of the Americas","Males","","21.380306","6.9982758","42.662159","",
"Physical inactivity, adults aged 18+","","2022","Dominica","Region of the Americas","Females","","39.380898","12.674183","70.658096","",
"Physical inactivity, adults aged 18+","","2022","Dominican Republic","Region of the Americas","Total","","37.024555","17.194962","59.850681","",
"Physical inactivity, adults aged 18+","","2022","Dominican Republic","Region of the Americas","Males","","31.099358","9.8715591","61.865459","",
"Physical inactivity, adults aged 18+","","2022","Dominican Republic","Region of the Americas","Females","","42.923744","11.826263","79.657715","",
"Physical inactivity, adults aged 18+","","2022","Eastern Mediterranean Region","Eastern Mediterranean Region","Total","","40.325844","35.427475","45.165623","",
"Physical inactivity, adults aged 18+","","2022","Eastern Mediterranean Region","Eastern Mediterranean Region","Males","","33.232929","27.292038","39.607208","",
"Physical inactivity, adults aged 18+","","2022","Eastern Mediterranean Region","Eastern Mediterranean Region","Females","","47.562443","39.854263","55.098934","",
"Physical inactivity, adults aged 18+","","2022","Ecuador","Region of the Americas","Total","","22.777739","14.109987","32.770042","",
"Physical inactivity, adults aged 18+","","2022","Ecuador","Region of the Americas","Males","","17.579494","8.6218414","29.106686","",
"Physical inactivity, adults aged 18+","","2022","Ecuador","Region of the Americas","Females","","27.828793","14.575809","44.440475","",
"Physical inactivity, adults aged 18+","","2022","Egypt","Eastern Mediterranean Region","Total","","33.801437","23.609114","45.271839","",
"Physical inactivity, adults aged 18+","","2022","Egypt","Eastern Mediterranean Region","Males","","29.976913","17.385332","44.449432","",
"Physical inactivity, adults aged 18+","","2022","Egypt","Eastern Mediterranean Region","Females","","37.405094","21.420843","55.345814","",
"Physical inactivity, adults aged 18+","","2022","El Salvador","Region of the Americas","Total","","39.231148","25.816784","53.240055","",
"Physical inactivity, adults aged 18+","","2022","El Salvador","Region of the Americas","Males","","31.758837","16.568457","49.182964","",
"Physical inactivity, adults aged 18+","","2022","El Salvador","Region of the Americas","Females","","45.7271","24.924877","67.141495","",
"Physical inactivity, adults aged 18+","","2022","Equatorial Guinea","African Region","Total","","19.505293","6.7438617","38.614227","",
"Physical inactivity, adults aged 18+","","2022","Equatorial Guinea","African Region","Males","","15.256071","3.4748755","37.816902","",
"Physical inactivity, adults aged 18+","","2022","Equatorial Guinea","African Region","Females","","24.2852","4.3867865","58.025551","",
"Physical inactivity, adults aged 18+","","2022","Eritrea","African Region","Total","","11.818641","4.2962208","23.934065","",
"Physical inactivity, adults aged 18+","","2022","Eritrea","African Region","Males","","7.0128851","1.7932383","17.029867","",
"Physical inactivity, adults aged 18+","","2022","Eritrea","African Region","Females","","16.098185","3.6921997","37.97514","",
"Physical inactivity, adults aged 18+","","2022","Estonia","European Region","Total","","15.939185","11.698923","20.69492","",
"Physical inactivity, adults aged 18+","","2022","Estonia","European Region","Males","","16.53961","10.640386","23.424963","",
"Physical inactivity, adults aged 18+","","2022","Estonia","European Region","Females","","15.377739","9.6855145","22.214628","",
"Physical inactivity, adults aged 18+","","2022","Eswatini","African Region","Total","","19.22184","10.094573","30.733103","",
"Physical inactivity, adults aged 18+","","2022","Eswatini","African Region","Males","","15.43037","6.0459094","28.49423","",
